Name	Id
mitochondrion Pronolagus crassicaudatus	42059.mitochondrion
mitochondrion Montipora cactus	246299.mitochondrion
mitochondrion Ixodes turdus	79497.mitochondrion
chloroplast Nuphar ozarkana	77109.chloroplast
Brassica oleracea var. gemmifera	178616
mitochondrion Vampyressa pusilla	148040.mitochondrion
chloroplast Aloe suprafoliata	247122.chloroplast
chloroplast Corema album	199168.chloroplast
Eutreptia viridis	96908
Cunninghamia lanceolata	28977
Ascobolus immersus	5191
Kirsten murine sarcoma virus	11808
Ustilago maydis	5270
Bacillus subtilis subsp. chungkookjang	118965
chloroplast Howea belmoreana	145691.chloroplast
mitochondrion Stenocercus chrysopygus	451712.mitochondrion
Coliphage ID18	338139
Cerebratulus lacteus	6221
Armoracia rusticana	3704
mitochondrion Paramecium aurelia	5889.mitochondrion
mitochondrion Drosophila suzukii	28584.mitochondrion
mitochondrion Anolis stratulus	75272.mitochondrion
Human calicivirus NLV/MOH/99	168224
chloroplast Weymouthia cochlearifolia	137196.chloroplast
Acinetobacter sp. PC19	310573
Phragmites australis	29695
mitochondrion Kobus ellipsiprymnus defassa	91877.mitochondrion
chloroplast Stewartia monadelpha	182323.chloroplast
chloroplast Sphagnum lescurii	128211.chloroplast
Chironomus tentans	7153
mitochondrion Zosterops maderaspatanus aldabrensis	364598.mitochondrion
Fusarium oxysporum f. sp. tracheiphilum	380146
Fundulus heteroclitus	8078
chloroplast Plagiochila deflexirama	172605.chloroplast
Streptomyces fimbriatus	68197
Gram-negative bacterium TC31	203852
Mouse parvovirus 2a	267821
mitochondrion Tockus nasutus	118205.mitochondrion
Avian myeloblastosis virus	11866
Boselaphus tragocamelus	9917
Shewanella benthica	43661
mitochondrion Liolaemus cf. poecilochromis	326041.mitochondrion
mitochondrion Actenoides concretus	342375.mitochondrion
Mustela sp.	30549
Murine norovirus	357231
chloroplast Brachyelytrum erectum	38700.chloroplast
chloroplast Pinus leiophylla	71638.chloroplast
chloroplast Zantedeschia aethiopica	69721.chloroplast
Fusarium solani f. sp. eumartii	341726
Agrobacterium luteum	285944
Sugarcane bacilliform IM virus	362398
chloroplast Crithodium monococcum	72428.chloroplast
chloroplast Rosa arvensis	136998.chloroplast
mitochondrion Chondrohierax uncinatus	321078.mitochondrion
Papaya leaf curl virus-associated DNA beta	226583
mitochondrion Inia geoffrensis boliviensis	149089.mitochondrion
chloroplast Melia azedarach	155640.chloroplast
mitochondrion Stephanoaetus coronatus	252802.mitochondrion
Pleopsidium chlorophanum	247144
Streptococcus phage MD1	152563
chloroplast Eriophyllum staechadifolium	149426.chloroplast
Chlamydia trachomatis A/HAR-13	315277
chloroplast Primula flaccida	175065.chloroplast
Streptococcus sp. 2410	349732
Beet chlorosis virus	131082
Heliotropium indicum	248297
chloroplast Aegilops columnaris	4493.chloroplast
chloroplast Gossypium raimondii	29730.chloroplast
mitochondrion Cobitis elongata	66304.mitochondrion
chloroplast Stictocardia tiliifolia	139763.chloroplast
Solorina crocea	48864
mitochondrion Cyprinodon tularosa	77115.mitochondrion
chloroplast Gymnogongrus sp. HugheyJ_6.vii.96	181219.chloroplast
Leptomonas seymouri	5684
Makaira nigricans	13604
Limanda ferruginea	8258
chloroplast Askidiosperma alboaristatum	311248.chloroplast
Rabbit fibroma virus	10272
Lactobacillus sakei subsp. sakei 23K	314315
chloroplast Litsea glutinosa	136122.chloroplast
Thauera sp. DNT-1	167065
chloroplast Sonchus ustulatus subsp. ustulatus	381767.chloroplast
Daucus carota	4039
Bifidobacterium adolescentis ATCC 15703	367928
Scolionema suvaense	340365
mitochondrion Spermophilus tridecemlineatus (thirteen-lined ground	43179.mitochondrion
chloroplast Phyllostachys pubescens	38705.chloroplast
mitochondrion Brachyphylla nana	290570.mitochondrion
chloroplast Camellia granthamiana	182298.chloroplast
chloroplast Blainvillea rhomboidea	243762.chloroplast
Sphingopyxis macrogoltabida	33050
mitochondrion Cyprinodon artifrons	141418.mitochondrion
Mugil cephalus encephalitis virus	241433
mitochondrion Lestoros inca	42731.mitochondrion
chloroplast Primula clarkei	175051.chloroplast
mitochondrion Neopsylla mana	129379.mitochondrion
Pseudomonas luteola	47886
Thermodesulforhabdus norvegica	39841
chloroplast Astragalus nothoxys	90197.chloroplast
chloroplast Satyrium riparium	445663.chloroplast
chloroplast Forchhammeria sessilifolia	265231.chloroplast
Acinetobacter sp. 631	70349
chloroplast Dicnemon calycinum	94693.chloroplast
Pelargonium chlorotic ring pattern virus	167021
chloroplast Antigonon leptopus	137667.chloroplast
chloroplast Aristolochia grandiflora	145283.chloroplast
Bacillus sp. SB4	259079
mitochondrion Cervus elaphus corsicanus	141654.mitochondrion
chloroplast Agonis flexuosa	106026.chloroplast
Ostertagia ostertagi	6317
mitochondrion Candida albicans SC5314	237561.mitochondrion
mitochondrion Otis tarda dybowskii	172732.mitochondrion
mitochondrion Apodemus agrarius	39030.mitochondrion
Rickettsia montanensis	33991
Rhododendron simsii	118357
mitochondrion Dusicyon thous	9620.mitochondrion
mitochondrion Spermophilus variegatus utah	100393.mitochondrion
Drosophila ambigua	7216
Enterobacteria phage NC5	338116
Lawsonia intracellularis	29546
mitochondrion Neofundulus sp. Paraguay	105042.mitochondrion
mitochondrion Crossoptilon auritum	9096.mitochondrion
plastid Nicotiana rotundifolia	200310.plastid
mitochondrion Orthogeomys hispidus	35665.mitochondrion
Lactobacillus helveticus phage f-0303	196194
mitochondrion Nyctimene vizcaccia	170211.mitochondrion
SARS coronavirus Tor2	227984
Pseudomonas fluorescens Pf-5	220664
Capra falconeri	48167
mitochondrion Buphagus erythrorhynchus	245048.mitochondrion
chloroplast Funaria hygrometrica	29583.chloroplast
mitochondrion Nectarinia adelberti	233789.mitochondrion
mitochondrion Amazonetta brasiliensis	75867.mitochondrion
Spodoptera frugiperda ascovirus 1	113374
mitochondrion Diporiphora lalliae	206587.mitochondrion
mitochondrion Chrysolophus pictus	9089.mitochondrion
